team_id,account_id,country_code,fantasy_role,full_history_time,is_pro,last_login,last_match_time,loccountrycode,is_locked,locked_until,name,team_name,team_last_match_time,losses,rating,wins,team_games_played,team_wins,is_current_team_member,mmr_estimate
7186937,198035908,,0,2019-07-04T17:28:36.583Z,True,2019-02-20T15:59:26.660Z,2019-07-05T14:05:15.000Z,RU,True,,lowkez,lft 4/5,,,,,,,,6162
6634461,198161112,cn,2,,True,,2019-06-05T02:34:33.000Z,CN,True,,detachment,Team Sincere,1559375839.0,32.0,1061.4,28.0,52.0,25.0,True,6255
5216146,198455581,,1,,True,,2019-03-15T05:51:57.000Z,CN,True,,csj,Team Ever,1561706068.0,51.0,1035.94,39.0,78.0,37.0,True,7268
4817649,198631761,vn,1,,True,2017-02-24T18:45:47.390Z,2019-07-20T12:41:50.000Z,VN,True,,Red,496 Gaming,,,,,,,,6589
3262331,199133117,,4,,True,,2019-07-20T12:42:23.000Z,ID,True,,FACEHUGGER,Team EVOS,1562567418.0,118.0,1071.28,144.0,224.0,128.0,True,7152
2640025,199222238,cn,1,,True,,2019-07-20T12:17:07.000Z,,True,,Dust,iG.Vitality,1563625027.0,347.0,1160.42,408.0,232.0,133.0,True,6598
6955045,199667127,,2,,True,2018-07-27T15:16:15.958Z,2019-07-19T02:24:00.000Z,BM,True,,Kevin,LFT,,,,,,,,6047
6634461,200037203,,2,,True,,2019-07-20T16:43:26.000Z,,True,,66,Team Sincere,1559375839.0,32.0,1061.4,28.0,52.0,25.0,True,6051
3258149,200520919,,0,,True,,2019-05-28T10:01:47.000Z,,False,,Shirley,,,,,,,,,4514
6185655,201594424,cn,1,,True,,2019-07-20T16:31:59.000Z,,True,,Stay,IamPoint Club,1555063641.0,46.0,1044.12,59.0,6.0,3.0,True,6358
6187657,201741490,,2,2018-05-11T09:11:43.027Z,True,2018-05-11T09:10:13.889Z,2019-07-06T16:41:41.000Z,PH,True,,FLYSOLo,Neon Esports,1563626873.0,86.0,1115.8,143.0,94.0,58.0,True,6646
6326533,202148694,,2,2017-12-05T11:15:04.134Z,True,2018-07-02T15:35:48.653Z,2019-05-25T12:09:38.000Z,BY,True,,qazer,DreamEaters,,,,,,,,6670
5,202217968,cn,4,2019-07-19T21:00:58.862Z,True,,2019-07-18T12:10:01.000Z,,True,,Emo,INVICTUS GAMING,1563007567.0,623.0,1341.04,904.0,149.0,93.0,True,6981
6265062,203351055,,1,2018-06-03T17:13:18.614Z,True,2018-09-29T23:15:19.538Z,2019-07-19T17:29:23.000Z,KZ,True,,Malik,Se7en Esports,1563557363.0,14.0,1133.22,26.0,26.0,16.0,True,6436
6819720,203903869,,2,,True,,2019-07-19T21:21:46.000Z,,False,,B7 NexT LeveL,Blacer Agony,,,,,,,,5853
6018727,204019241,,1,2019-04-17T12:04:39.202Z,True,2019-02-21T17:12:48.836Z,2019-07-19T08:08:08.000Z,VN,False,,Arnab-,,,,,,,,,4745
6214015,205239629,,0,2018-05-21T06:14:14.436Z,True,,2019-07-20T15:26:05.000Z,,False,,SangSang,   ,,,,,,,,6931
6980350,205743502,us,1,2019-04-28T20:59:30.943Z,True,2019-03-29T01:13:24.398Z,2019-07-05T23:39:51.000Z,US,True,,Henry,sub2kong,,,,,,,,5731
6382740,205813150,,4,2017-04-18T05:49:22.424Z,True,,2019-07-06T10:12:22.000Z,,True,,Op,Royal,1560085778.0,34.0,1217.27,44.0,39.0,26.0,True,7414
4817649,206144913,vn,2,2017-09-15T16:08:07.438Z,True,,2019-07-20T12:41:50.000Z,CA,True,,Yasy,496 Gaming,,,,,,,,6585
7234776,207078168,us,1,2018-08-01T23:17:14.383Z,True,2019-07-06T05:50:06.669Z,2019-07-12T22:14:18.000Z,US,True,,Virsatus,Old Suck Gaming,,,,,,,,6187
6209166,207829314,cn,2,2019-07-19T21:26:20.192Z,True,,2019-07-12T12:25:20.000Z,CN,True,,BoBoKa,Team Aster,1562934320.0,86.0,1205.29,94.0,191.0,106.0,True,7873
4817649,207983361,vn,2,2017-07-26T06:12:47.282Z,True,2017-03-25T07:00:59.480Z,2019-07-20T12:42:41.000Z,TW,True,,SeeL,496 Gaming,,,,,,,,6121
6349965,208163435,,2,,True,,2019-07-19T13:48:16.000Z,CN,True,, .,FGB Gaming,,,,,,,,6280
1498062,208181197,gb,1,2019-05-17T23:58:50.096Z,True,2018-12-04T20:57:45.492Z,2019-07-20T16:08:15.000Z,GB,True,,Adzantick,Started From the PotM.,,,,,,,,6097
0,208642321,,0,,True,,2018-05-02T03:59:01.000Z,,False,,Kalkbrenner-,,,,,,,,,5624
7099096,208796906,,1,,True,,2019-07-19T15:20:32.000Z,,True,,Fonte,Typhoon,1563527003.0,24.0,1149.25,29.0,52.0,29.0,True,6984
0,210287979,,1,2017-06-25T11:48:02.532Z,True,,2019-05-19T03:17:02.000Z,,False,,    ,,,,,,,,,6521
6352245,211531481,ph,1,2019-05-01T14:55:49.374Z,True,2017-12-17T17:22:41.976Z,2019-07-20T16:40:48.000Z,RU,True,, ,Happy Feet,,,,,,,,6153
0,211883623,,2,,True,,2019-04-07T17:33:20.000Z,CN,False,,沫，,,,,,,,,,6355
